name,gender,count
Elimelech,m,493
Elina,f,367
Eliot,m,10
Elisa,f,386
Elise,f,487
Elisheva,f,425
Eliyahu,m,864
Eliza,f,839
Elizabeth,f,5818
Ella,f,5499
Elle,f,504
Elliana,f,142
Ellie,f,1254
Elliot,m,1014
Elliott,f,13
Elliott,m,383
Ellis,m,284
Elodie,f,10
Eloise,f,890
Elsa,f,394
Eluzer,m,89
Elvin,m,60
Elvis,m,346
Elya,m,43
Emaan,f,71
Emani,f,72
Emanuel,m,716
Emely,f,1521
Emerson,f,444
Emerson,m,25
Emery,f,24
Emil,m,10
Emilia,f,1923
Emiliano,m,278
Emilio,m,644
Emily,f,11691
Emir,m,11
Emma,f,13363
Emmanuel,m,3073
Emmanuella,f,13
Emmeline,f,132
Emmett,m,340
Emmy,f,39
Empress,f,12
Enrique,m,277
Enzo,m,265
Ephraim,m,104
Eric,m,4785
Erica,f,335
Erick,m,1785
Erik,m,371
Erika,f,398
Erin,f,634
Ermias,m,22
Eshaal,f,98
Eshal,f,66
Eshan,m,10
Esme,f,238
Esmeralda,f,659
Essence,f,66
Esteban,m,286
Estelle,f,89
Ester,f,271
Esther,f,7080
Estrella,f,90
Esty,f,651
Ethan,m,18771
Etty,f,511
Eunice,f,71
Eva,f,3956
Evan,m,5685
Evangeline,f,341
Eve,f,534
Evelina,f,10
Evelyn,f,3868
Everett,m,408
Everly,f,191
Evie,f,117
Eyad,m,27
Ezekiel,m,494
Ezequiel,m,376
Ezra,m,1766
Ezriel,m,98
Fabian,m,265
Faiga,f,669
Faigy,f,2030
Faith,f,1944
Fanta,f,280
Farah,f,76
Farhan,m,191
Farida,f,23
Fatima,f,2114
Fatou,f,154
Fatoumata,f,1311
Felipe,m,105
Felix,m,1796
Fernanda,f,182
Fernando,m,778
Feynman,m,14
Filip,m,300
Finley,f,88
Finley,m,14
Finn,m,773
Finnegan,m,10
Fiona,f,2211
Fishel,m,49
Florence,f,12
Fradel,f,310
Frady,f,215
Fraidy,f,754
Frances,f,398
Francesca,f,1003
Francesco,m,399
Francis,m,243
Francisco,m,765
Frank,m,1045
Franklin,m,187
Freddy,m,150
Frederick,m,298
Freida,f,36
Freya,f,86
Frida,f,25
Frieda,f,59
Frimet,f,345
Gabriel,m,8562
Gabriela,f,2001
Gabriella,f,5400
Gabrielle,f,1627
Gael,m,1500
Gaia,f,11
Galilea,f,14
Gary,m,75
Gavin,m,2956
Gavriel,m,483
Gemma,f,539
Genesis,f,3337
Genevieve,f,493
George,m,2911
Georgia,f,651
Georgina,f,23
Geraldine,f,144
Gerard,m,60
Gerardo,m,138
Gia,f,1142
Giada,f,78
Giancarlo,m,60
Gianluca,m,89
Gianna,f,3231
Gianni,m,24
Gideon,m,11
Giovani,m,115
Giovanna,f,148
Giovanni,m,2585
Giovanny,m,150
Giselle,f,1084
Gittel,f,433
Gitty,f,2180
Giulia,f,83
Giuliana,f,951
Giuseppe,m,84
Golda,f,402
Goldie,f,111
Goldy,f,799
Gordon,m,210
Grace,f,5455
Graham,m,637
Grant,m,428
Grayson,m,1211
Gregory,m,804
Greta,f,172
Grey,m,10
Greyson,m,517
Griffin,m,493
Guadalupe,f,720
Gustavo,m,264
Guy,m,22
Gwendolyn,f,12
Hadassa,f,66
Hadassah,f,361
Hadley,f,299
Hafsa,f,171
Hailey,f,5151
Hailie,f,60
Haley,f,252
Hamza,m,520
Hana,f,504
Haniya,f,24
Hanley,m,60
Hanna,f,653
Hannah,f,4664
Hao,m,66
Hareem,f,77
Harley,f,70
Harlow,f,76
Harmony,f,557
Harper,f,1356
Harrison,m,1605
Harry,m,514
Harvey,m,75
Hashim,m,13
Hassan,m,156
Hawa,f,432
Hayden,m,691
Haylee,f,371
Hayley,f,78
Hazel,f,979
Heaven,f,1099
Heavenly,f,14
Hector,m,724
Heidi,f,301
Heidy,f,274
Helen,f,823
Helena,f,342
Henchy,f,120
Hendy,f,11
Henny,f,569
Henry,m,6598
Herman,m,10
Hersh,m,420
Hershel,m,596
Hershy,m,729
Hillel,m,178
Hinda,f,297
Hindy,f,1102
Holden,m,13
Hoorain,f,26
Hope,f,112
Hudson,m,2067
Hugo,m,601
Hunter,m,2717
Ian,m,4927
Ibrahim,m,1941
Ibrahima,m,408
Ibrohim,m,13
Idris,m,11
Idy,f,302
Iker,m,960
Ilan,m,287
Ilana,f,132
Imani,f,782
Imogen,f,11
Imona,f,30
Imran,m,120
Inaaya,f,247
Inaya,f,118
Ines,f,71
Ingrid,f,66
Irene,f,632
Iris,f,1177
Isaac,m,6992
Isabel,f,2176
Isabela,f,231
Isabella,f,14745
Isabelle,f,1879
Isaiah,m,4354
Isaias,m,154
Ishaan,m,147
Ishmael,m,60
Isiah,m,132
Isis,f,209
Isla,f,803
Ismael,m,777
Ismail,m,11
Israel,m,1674
Issac,m,133
Itzel,f,603
Ivaan,m,10
Ivan,m,3028
Ivanna,f,165
Ivy,f,1313
Iymona,f,13
Izabella,f,573
Izaiah,m,66
Jabari,m,10
Jace,m,2439
Jack,m,6712
Jackson,m,3272
Jacky,m,217
Jacob,m,18110
Jacqueline,f,1175
Jad,m,115
Jada,f,1054
Jade,f,2127
Jaden,m,3571
Jadiel,m,1225
Jael,m,409
Jaelyn,f,83
Jaelynn,f,66
Jaheim,m,70
Jahir,m,60
Jahmir,m,168
Jaiden,m,1360
Jaime,m,181
Jair,m,60
Jake,m,2967
Jakob,m,10
Jakub,m,66
Jalen,m,331
Jaliyah,f,327
Jamal,m,170
Jamar,m,72
Jamari,m,183
Jamel,m,146
James,m,10273
Jameson,m,54
Jamie,f,246
Jamie,m,12
Jamir,m,118
Jana,f,283
Janae,f,66
Jane,f,711
Janelle,f,492
Janice,f,276
Janiel,m,60
Janiya,f,88
Janiyah,f,292
Jannat,f,367
Jannatul,f,38
Januel,m,126
Jared,m,677
Jariel,m,594
Jasiah,m,399
Jaslene,f,77
Jaslyn,f,10
Jasmin,f,190
Jasmina,f,126
Jasmine,f,2841
Jason,m,6817
Jasper,m,1295
Javier,m,984
Jax,m,193
Jaxon,m,865
Jaxson,m,358
Jay,m,634
Jayce,m,1212
Jayceon,m,525
Jaycob,m,126
Jayda,f,378
Jayden,m,17790
Jayla,f,1560
Jaylah,f,449
Jaylee,f,87
Jayleen,f,990
Jaylen,m,826
Jaylene,f,510
Jaylin,f,404
Jaylin,m,60
Jaylyn,f,60
