,name,count
502,Buchanan,66648
503,Casey,66556
504,Floyd,66454
505,Patton,66293
506,Ibarra,66063
507,Ball,66059
508,Tyler,66056
509,Suarez,66013
510,Bowers,66003
511,Orozco,65904
512,Salas,65468
513,Cobb,65125
514,Gibbs,65064
515,Andrade,65037
516,Bauer,65004
517,Conner,64572
518,Moody,64429
519,Escobar,64403
520,Mcguire,64327
521,Lloyd,64202
522,Mueller,64191
523,Hartman,64106
524,French,63991
525,Kramer,63936
526,Mcbride,63899
527,Pope,63881
528,Lindsey,63760
529,Velazquez,63736
530,Norton,63722
531,Mccormick,63649
532,Sparks,63440
533,Flynn,63400
534,Yates,63254
535,Hogan,63085
536,Marsh,62304
537,Macias,62227
538,Villanueva,61883
539,Zamora,61729
540,Pratt,61671
541,Stokes,61639
542,Owen,61630
543,Ballard,61625
544,Lang,61529
545,Brock,61369
546,Villarreal,61355
547,Charles,61211
548,Drake,61162
549,Barrera,60998
550,Cain,60948
551,Patrick,60845
552,Pineda,60820
553,Burnett,60791
554,Mercado,60761
555,Santana,60667
556,Shepherd,60479
557,Bautista,60264
558,Ali,60002
559,Shaffer,59943
560,Lamb,59913
561,Trevino,59882
562,Mckenzie,59595
563,Hess,59486
564,Beil,59463
565,Olsen,59356
566,Cochran,59350
567,Morton,59213
568,Nash,58714
569,Wilkins,58634
570,Petersen,58480
571,Briggs,58408
572,Shah,58287
573,Roth,58278
574,Nicholson,58151
575,Holloway,58040
576,Lozano,57779
577,Rangel,57549
578,Flowers,57549
579,Hoover,57497
580,Short,57477
581,Arias,57477
582,Mora,57464
583,Valenzuela,57383
584,Bryan,57143
585,Meyers,57127
586,Weiss,57112
587,Underwood,57064
588,Bass,57044
589,Greer,57043
590,Summers,56953
591,Houston,56900
592,Carson,56872
593,Morrow,56840
594,Clayton,56638
595,Whitaker,56616
596,Decker,56576
597,Yoder,56410
598,Collier,56380
599,Zuniga,56347
600,Carey,56322
601,Wilcox,56286
602,Melendez,56230
603,Poole,56226
604,Roberson,56180
605,Larsen,55960
606,Conley,55917
607,Davenport,55895
608,Copeland,55850
609,Massey,55595
610,Lam,55554
611,Huff,55484
612,Rocha,55251
613,Cameron,55240
614,Jefferson,55179
615,Hood,55174
616,Monroe,55136
617,Anthony,55114
618,Pittman,55021
619,Huynh,54996
620,Randall,54764
621,Singleton,54621
622,Kirk,54394
623,Combs,54257
624,Mathis,54217
625,Christian,54198
626,Skinner,54046
627,Bradford,54015
628,Richard,53893
629,Galvan,53822
630,Wall,53794
631,Boone,53792
632,Kirby,53767
633,Wilkinson,53739
634,Bridges,53682
635,Bruce,53419
636,Atkinson,53376
637,Velez,53265
638,Meza,53230
639,Roy,53159
640,Vincent,53095
641,York,53059
642,Hodge,52920
643,Villa,52817
644,Abbott,52739
645,Allison,52701
646,Tapia,52651
647,Gates,52569
648,Chase,52481
649,Sosa,52457
650,Sweeney,52410
651,Farrell,52321
652,Wyatt,52211
653,Dalton,52184
654,Horn,52138
655,Barron,52070
656,Phelps,52044
657,Yu,52035
658,Dickerson,51889
659,Heath,51877
660,Foley,51865
661,Atkins,51671
662,Mathews,51592
663,Bonilla,51475
664,Acevedo,51351
665,Benitez,51288
666,Zavala,51153
667,Hensley,51081
668,Glenn,51043
669,Cisneros,50920
670,Harrell,50837
671,Shields,50832
672,Rubio,50788
673,Huffman,50786
674,Choi,50786
675,Boyer,50742
676,Garrison,50686
677,Arroyo,50614
678,Bond,50610
679,Kane,50584
680,Hancock,50558
681,Callahan,50524
682,Dillon,50465
683,Cline,50258
684,Wiggins,50247
685,Grimes,50245
686,Arellano,50104
687,Melton,50069
688,Oneill,50028
689,Savage,49914
690,Ho,49817
691,Beltran,49776
692,Pitts,49740
693,Parrish,49733
694,Ponce,49549
695,Rich,49481
696,Booth,49402
697,Koch,49395
698,Golden,49360
699,Ware,49316
700,Brennan,49238
701,Mcdowell,49217
702,Marks,49177
703,Cantu,49126
704,Humphrey,49056
705,Baxter,49033
706,Sawyer,49028
707,Clay,48844
708,Tanner,48813
709,Hutchinson,48781
710,Kaur,48753
711,Berg,48746
712,Wiley,48720
713,Gilmore,48719
714,Russo,48696
715,Villegas,48599
716,Hobbs,48522
717,Keith,48487
718,Wilkerson,48444
719,Ahmed,48319
720,Beard,48207
721,Mcclain,48165
722,Montes,48142
723,Mata,48120
724,Rosario,48051
725,Vang,48036
726,Walter,48024
727,Henson,48013
728,Oneal,47979
729,Mosley,47963
730,Mcclure,47742
731,Beasley,47693
732,Stephenson,47641
733,Snow,47528
734,Huerta,47455
735,Preston,47367
736,Vance,47324
737,Barry,47274
738,Johns,47246
739,Eaton,47184
740,Blackwell,47175
741,Dyer,47170
742,Prince,47168
743,Macdonald,46717
744,Solomon,46534
745,Guevara,46454
746,Stafford,46394
747,English,46393
748,Hurst,46244
749,Woodard,46240
750,Cortes,46229
751,Shannon,46147
752,Kemp,46146
753,Nolan,46054
754,Mccullough,45852
755,Merritt,45594
756,Murillo,45558
757,Moon,45528
758,Salgado,45469
759,Strong,45432
760,Kline,45390
761,Cordova,45305
762,Barajas,45153
763,Roach,45019
764,Rosas,44938
765,Winters,44914
766,Jacobson,44808
767,Lester,44784
768,Knox,44742
769,Bullock,44740
770,Kerr,44711
771,Leach,44581
772,Meadows,44500
773,Orr,44388
774,Davila,44388
775,Whitehead,44373
776,Pruitt,44365
777,Kent,44325
778,Conway,44320
779,Mckee,44137
780,Barr,44130
781,David,44040
782,Dejesus,44038
783,Marin,43904
784,Berger,43851
785,Mcintyre,43842
786,Blankenship,43830
787,Gaines,43821
788,Palacios,43798
789,Cuevas,43701
790,Bartlett,43648
791,Durham,43635
792,Dorsey,43631
793,Mccall,43483
794,Odonnell,43460
795,Stein,43389
796,Browning,43329
797,Stout,43305
798,Lowery,43278
799,Sloan,43261
800,Mclean,43260
801,Hendricks,43197
802,Calhoun,43180
803,Sexton,43133
804,Chung,43110
805,Gentry,43027
806,Hull,43018
807,Duarte,42983
808,Ellison,42827
809,Nielsen,42773
810,Gillespie,42693
811,Buck,42639
812,Middleton,42578
813,Sellers,42577
814,Leblanc,42575
815,Esparza,42559
816,Hardin,42469
817,Bradshaw,42465
818,Mcintosh,42379
819,Howe,42265
820,Livingston,42103
821,Frost,42015
822,Glass,41802
823,Morse,41774
824,Knapp,41771
825,Herman,41750
826,Stark,41735
827,Bravo,41700
828,Noble,41667
829,Spears,41665
830,Weeks,41565
831,Corona,41553
832,Frederick,41394
833,Buckley,41348
834,Mcfarland,41300
835,Hebert,41275
836,Enriquez,41271
837,Hickman,41163
838,Quintero,41158
839,Randolph,41129
840,Schaefer,41063
841,Walls,41025
842,Trejo,41021
843,House,41000
844,Reilly,40884
845,Pennington,40854
846,Michael,40736
847,Conrad,40707
848,Giles,40598
849,Benjamin,40590
850,Crosby,40563
851,Fitzpatrick,40449
852,Donovan,40410
853,Mays,40408
854,Mahoney,40397
855,Valentine,40395
856,Raymond,40275
857,Medrano,40261
858,Hahn,40250
859,Mcmillan,40237
860,Small,40212
861,Bentley,40193
862,Felix,40165
863,Peck,40055
864,Lucero,39986
865,Boyle,39921
866,Hanna,39890
867,Pace,39879
868,Rush,39802
869,Hurley,39796
870,Harding,39787
871,Mcconnell,39754
872,Bernal,39693
873,Nava,39670
874,Ayers,39623
875,Everett,39593
876,Ventura,39580
877,Avery,39564
878,Pugh,39559
879,Mayer,39555
880,Bender,39551
881,Shepard,39430
882,Mcmahon,39411
883,Landry,39391
884,Case,39319
885,Sampson,39277
886,Moses,39216
887,Magana,39105
888,Blackburn,39097
889,Dunlap,39063
890,Gould,38924
891,Duffy,38835
892,Vaughan,38830
893,Herring,38733
894,Mckay,38681
895,Espinosa,38667
896,Rivers,38662
897,Farley,38528
898,Bernard,38512
899,Ashley,38499
900,Friedman,38374
901,Potts,38277
902,Truong,38267
903,Costa,38265
904,Correa,38232
905,Blevins,38229
906,Nixon,38147
907,Clements,38044
908,Fry,38029
909,Delarosa,37932
910,Best,37923
911,Benton,37912
912,Lugo,37903
913,Portillo,37890
914,Dougherty,37884
915,Crane,37870
916,Haley,37858
917,Phan,37836
918,Villalobos,37754
919,Blanchard,37695
920,Horne,37689
921,Finley,37672
922,Quintana,37657
923,Lynn,37644
924,Esquivel,37578
925,Bean,37571
926,Dodson,37566
927,Mullen,37502
928,Xiong,37499
929,Hayden,37451
930,Cano,37368
931,Levy,37228
932,Huber,37170
933,Richmond,37053
934,Moyer,37050
935,Lim,37021
936,Frye,36973
937,Sheppard,36960
938,Mccarty,36944
939,Avalos,36922
940,Booker,36840
941,Waller,36805
942,Parra,36765
943,Woodward,36764
944,Jaramillo,36755
945,Krueger,36743
946,Rasmussen,36636
947,Brandt,36613
948,Peralta,36585
949,Donaldson,36558
950,Stuart,36540
951,Faulkner,36466
952,Maynard,36460
953,Galindo,36429
954,Coffey,36423
955,Estes,36318
956,Sanford,36312
957,Burch,36269
958,Maddox,36250
959,Vo,36236
960,Oconnell,36194
961,Vu,36179
962,Andersen,36150
963,Spence,36129
964,Mcpherson,36125
965,Church,36072
966,Schmitt,36043
967,Stanton,35997
968,Leal,35958
969,Cherry,35877
970,Compton,35830
971,Dudley,35781
972,Sierra,35770
973,Pollard,35749
974,Alfaro,35725
975,Hester,35642
976,Proctor,35636
977,Lu,35628
978,Hinton,35606
979,Novak,35461
980,Good,35446
981,Madden,35438
982,Mccann,35408
983,Terrell,35408
984,Jarvis,35350
985,Dickson,35312
986,Reyna,35291
987,Cantrell,35266
988,Mayo,35228
989,Branch,35225
990,Hendrix,35194
991,Rollins,35132
992,Rowland,35121
993,Whitney,35118
994,Duke,35053
995,Odom,35020
996,Daugherty,34987
997,Travis,34985
998,Tang,34961
999,Archer,34949
1000,Haas,34918
1001,Galloway,34909
1002,Bray,34906
1003,Nieves,34896
1004,Petty,34882
1005,Mcgrath,34871
1006,Kaufman,34844
