given_name,gender_code,ethnicity_code,count
Daisy,f,a,78
Daisy,f,h,626
Daisy,f,w,218
Dakota,f,b,305
Daleyza,f,h,110
Dalia,f,w,172
Dallas,m,b,44
Damani,m,b,60
Damari,m,b,10
Damaris,f,h,66
Damian,m,h,1225
Damian,m,w,274
Damien,m,h,391
Damon,m,a,184
Dana,f,h,192
Dana,f,w,12
Daniel,m,a,2409
Daniel,m,b,1741
Daniel,m,h,5435
Daniel,m,w,6117
Daniela,f,h,1602
Daniela,f,w,148
Daniella,f,h,677
Daniella,f,w,902
Danielle,f,b,354
Danielle,f,h,60
Danielle,f,w,460
Danna,f,h,914
Danny,m,a,298
Danny,m,h,567
Dante,m,h,457
Dante,m,w,150
Daphne,f,a,160
Daphne,f,h,22
Daphne,f,w,331
Dara,f,h,12
Daria,f,w,22
Dariel,m,h,817
Darius,m,b,251
Darren,m,a,618
Darren,m,b,210
Darwin,m,h,447
Dashiell,m,w,132
David,m,a,933
David,m,b,1754
David,m,h,4712
David,m,w,7828
Dayana,f,h,552
Dean,m,a,22
Dean,m,h,204
Dean,m,w,682
Deborah,f,b,60
Deborah,f,h,10
Declan,m,w,1014
Delilah,f,h,993
Delilah,f,w,70
Demi,f,b,10
Denis,m,w,60
Denise,f,h,156
Denisse,f,h,11
Dennis,m,h,140
Dennis,m,w,138
Denzel,m,h,168
Dereck,m,h,142
Derek,m,a,827
Derek,m,h,1454
Derek,m,w,154
Derick,m,h,168
Derrick,m,a,11
Derrick,m,b,197
Desmond,m,w,164
Destiny,f,b,830
Destiny,f,h,795
Devin,m,a,468
Devin,m,b,374
Devin,m,h,511
Devin,m,w,309
Devoiry,f,w,24
Devon,m,b,60
Devora,f,w,563
Devorah,f,w,1298
Devory,f,w,10
Diana,f,a,11
Diana,f,h,1093
Diana,f,w,548
Diego,m,h,1648
Dilan,m,h,90
Dillon,m,w,10
Dina,f,w,1103
Dion,m,w,10
Dior,f,b,15
Diya,f,a,149
Diyora,f,w,11
Dominic,m,b,438
Dominic,m,h,773
Dominic,m,w,771
Dominick,m,b,60
Dominick,m,h,397
Dominick,m,w,470
Donovan,m,b,120
Donovan,m,h,122
Donovan,m,w,15
Doris,f,a,138
Dov,m,w,1071
Dovid,m,w,921
Dream,f,b,28
Drew,m,w,179
Dua,f,a,10
Dua,f,w,11
Dulce,f,h,276
Duvid,m,w,207
Dwayne,m,b,84
Dylan,f,b,66
Dylan,f,w,645
Dylan,m,a,1513
Dylan,m,b,1300
Dylan,m,h,6686
Dylan,m,w,3105
Ean,m,h,99
Eason,m,a,807
Eddie,m,a,72
Eddie,m,h,72
Eddy,m,h,122
Eden,f,b,188
Eden,f,w,535
Eden,m,a,230
Eden,m,w,10
Edgar,m,h,658
Edison,m,a,310
Edison,m,h,178
Edith,f,w,134
Eduardo,m,h,831
Edward,m,a,276
Edward,m,b,60
Edward,m,h,1079
Edward,m,w,1090
Edwin,m,a,258
Edwin,m,h,1340
Efraim,m,w,548
Egypt,f,b,305
Eileen,f,a,439
Eileen,f,h,326
Eitan,m,w,467
Elaine,f,a,547
Elan,m,w,154
Eleanor,f,a,240
Eleanor,f,w,1543
Elena,f,a,442
Elena,f,h,757
Elena,f,w,669
Eleni,f,w,60
Eli,m,a,235
Eli,m,b,713
Eli,m,h,1203
Eli,m,w,2811
Eliam,m,h,119
Elian,m,h,633
Eliana,f,a,122
Eliana,f,b,185
Eliana,f,h,1016
Eliana,f,w,1365
Elianna,f,h,79
Elianny,f,h,176
Elias,m,a,24
Elias,m,b,311
Elias,m,h,2259
Elias,m,w,831
Eliel,m,h,33
Eliezer,m,w,1119
Elijah,m,a,425
Elijah,m,b,3482
Elijah,m,h,2928
Elijah,m,w,875
Elimelech,m,w,493
Elina,f,a,356
Elina,f,w,11
Eliot,m,w,10
Elisa,f,h,374
Elisa,f,w,12
Elise,f,a,100
Elise,f,b,71
Elise,f,w,316
Elisheva,f,w,425
Eliyahu,m,w,864
Eliza,f,h,163
Eliza,f,w,676
Elizabeth,f,a,630
Elizabeth,f,b,680
Elizabeth,f,h,1664
Elizabeth,f,w,2844
Ella,f,a,1052
Ella,f,b,117
Ella,f,h,640
Ella,f,w,3690
Elle,f,w,504
Elliana,f,h,10
Elliana,f,w,132
Ellie,f,a,502
Ellie,f,h,43
Ellie,f,w,709
Elliot,m,a,22
Elliot,m,h,44
Elliot,m,w,948
Elliott,f,w,13
Elliott,m,w,383
Ellis,m,w,284
Elodie,f,w,10
Eloise,f,w,890
Elsa,f,a,166
Elsa,f,w,228
Eluzer,m,w,89
Elvin,m,h,60
Elvis,m,a,286
Elvis,m,h,60
Elya,m,w,43
Emaan,f,a,71
Emani,f,b,72
Emanuel,m,h,705
Emanuel,m,w,11
Emely,f,h,1521
Emerson,f,w,444
Emerson,m,w,25
Emery,f,w,24
Emil,m,h,10
Emilia,f,a,85
Emilia,f,h,489
Emilia,f,w,1349
Emiliano,m,h,278
Emilio,m,h,644
Emily,f,a,2519
Emily,f,b,929
Emily,f,h,4580
Emily,f,w,3663
Emir,m,w,11
Emma,f,a,2336
Emma,f,b,649
Emma,f,h,4571
Emma,f,w,5807
Emmanuel,m,a,60
Emmanuel,m,b,1097
Emmanuel,m,h,1833
Emmanuel,m,w,83
Emmanuella,f,b,13
Emmeline,f,w,132
Emmett,m,w,340
Emmy,f,h,11
Emmy,f,w,28
Empress,f,b,12
Enrique,m,h,277
Enzo,m,a,12
Enzo,m,h,211
Enzo,m,w,42
Ephraim,m,w,104
Eric,m,a,2496
Eric,m,b,436
Eric,m,h,1068
Eric,m,w,785
Erica,f,a,335
Erick,m,h,1785
Erik,m,h,240
Erik,m,w,131
Erika,f,a,72
Erika,f,h,326
Erin,f,a,347
Erin,f,b,137
Erin,f,w,150
Ermias,m,b,10
Ermias,m,h,12
Eshaal,f,a,98
Eshal,f,a,66
Eshan,m,a,10
Esme,f,w,238
Esmeralda,f,h,659
Essence,f,b,66
Esteban,m,h,286
Estelle,f,w,89
Ester,f,w,271
Esther,f,a,201
Esther,f,b,88
Esther,f,h,490
Esther,f,w,6301
Estrella,f,h,90
Esty,f,w,651
Ethan,m,a,4714
Ethan,m,b,3541
Ethan,m,h,6772
Ethan,m,w,3744
Etty,f,w,511
Eunice,f,a,71
Eva,f,a,746
Eva,f,b,275
Eva,f,h,1134
Eva,f,w,1801
Evan,m,a,1945
Evan,m,b,448
Evan,m,h,1728
Evan,m,w,1564
Evangeline,f,h,159
Evangeline,f,w,182
Eve,f,w,534
Evelina,f,w,10
Evelyn,f,a,909
Evelyn,f,h,1367
Evelyn,f,w,1592
Everett,m,w,408
Everly,f,h,38
Everly,f,w,153
Evie,f,w,117
Eyad,m,w,27
Ezekiel,m,b,159
Ezekiel,m,h,335
Ezequiel,m,h,376
Ezra,m,b,142
Ezra,m,h,237
Ezra,m,w,1387
Ezriel,m,w,98
Fabian,m,h,265
Faiga,f,w,669
Faigy,f,w,2030
Faith,f,a,60
Faith,f,b,1162
Faith,f,h,662
Faith,f,w,60
Fanta,f,b,280
Farah,f,w,76
Farhan,m,a,191
Farida,f,w,23
Fatima,f,a,808
Fatima,f,b,804
Fatima,f,h,258
Fatima,f,w,244
Fatou,f,b,154
Fatoumata,f,b,1311
Felipe,m,h,105
Felix,m,a,650
Felix,m,h,398
Felix,m,w,748
Fernanda,f,h,182
Fernando,m,h,778
Feynman,m,a,14
Filip,m,w,300
Finley,f,w,88
Finley,m,w,14
Finn,m,w,773
Finnegan,m,w,10
Fiona,f,a,1150
Fiona,f,w,1061
Fishel,m,w,49
Florence,f,w,12
Fradel,f,w,310
